4;15;1;41501006;11075;PRE-ESCOLAR CARIDAD DE ESPAÑA;SECTOR: EL PIOJITO. URBANIZACION ROMULO BETANCURT. FRENTE CALLE 19 DE ABRIL
4;3;2;40302007;10294;UNIDAD EDUCATIVA ESTADAL RURAL CONCENTRADA SAN JOSE;SECTOR: SAN JOSE. FRENTE CARRETERA NACIONAL. REFERENCIA AL LADO DEL CLUB HISPANO
4;5;1;40501014;10843;ESCUELA BASICA ESTADAL ANDRES RODRIGUEZ RAMIREZ;SECTOR: EL POLVERO. REFERENCIA 80 METROS DEL ESTADIUM MUNICIPAL
4;1;3;40103010;9100;ESCUELA BASICA ANTONIA ESTELLER;BARRIO: INDEPENDENCIA. FRENTE CALLE C. IZQUIERDA AVENIDA BOLIVAR. REFERENCIA DETRAS DEL CENTRO COMERCIAL GLOBAL
4;1;8;40108033;9532;BIBLIOTECA VIRTUAL SAN VICENTE;SECTOR SAN VICENTE FRENTE AVENIDA PRINCIPAL SAN VICENTE. DERECHA CALLEJÓN SN. IZQUIERDA VEREDA UNO AL FRENTE DE LA CHATARRERA EDIFICIO
4;8;2;40802006;11171;CASA DE LOS NIÑOS JUAN DE DIOS AGRAZ;SECTOR: LAS BRISAS. FRENTE CALLE EL SAMAN. REFERENCIA CERCA DE LA ANTENA MOVILNET
4;1;1;40101001;8940;ESCUELA BASICA CRISTOBAL MENDOZA;SECTOR: LA PEDRERA. FRENTE CALLE LOS COCOS. IZQUIERDA CALLE SANTA EDUVIGUIS. DERECHA CALLE RIO MADRE VIEJ. REFERENCIA SALON DA LUIGI
4;1;1;40101002;8941;COLEGIO BELLA VISTA;BARRIO: LA COOPERATIVA. FRENTE CALLE EL ROSAL. IZQUIERDA CALLE 23 JULIO. DERECHA CALLEJÓN BELLA VISTA. REFERENCIA FINAL DE LA CALLE 23 DE JULIO
4;1;1;40101019;8942;UNIDAD EDUCATIVA ESTADAL DOCTOR EMILIO MEDINA;BARRIO: LA COOPERATIVA MARACAY. FRENTE CALLE NUEVA. IZQUIERDA CALLE BUENOS AIRES. DERECHA CALLE PIAR SIN NUMERO. REFERENCIA AL LADO DEL CDI DE LA COOPERATIVO
4;1;1;40101003;8943;FUNDACOMUN;BARRIO SANTA EDUVIGEN FRENTE AVENIDA PRINCIPAL DE SANTA EDUVIGEN. DERECHA CALLE EL COMANDO. IZQUIERDA CALLEJÓN LOS COCOS DETRAS DE LA 4TA DIVISION CASA
4;1;1;40101020;8944;ESCUELA BASICA NACIONAL BOLIVARIANA SILANIA PERAZA UDDIS;SECTOR: LA PEDRERA. FRENTE CALLE EL ESTADIUM. IZQUIERDA CALLE NUEVA LA PEDRERA. DERECHA AVENIDA PRINCIPAL DE LA PEDRERA. REFERENCIA FRENTE A LA PLAZA MIRANDA
4;1;1;40101004;8960;UNIVERSIDAD PEDAGOGICA MARACAY;SECTOR: LAS DELICIAS. FRENTE AVENIDA PRINCIPAL LAS DELICIAS. IZQUIERDA CALLE SN. DERECHA CALLE SN. REFERENCIA AVENIDA  LAS DELICIAS MARACAY
4;1;1;40101005;8961;CORPOSALUD;URBANIZACIÓN: ANDRES BELLO. FRENTE AVENIDA PRINCIPAL LAS DELICIAS. IZQUIERDA CALLE ARNALDO GABARDON. DERECHA CALLE ANDRES BELLO. REFERENCIA AVENIDA  LAS DELICIAS FRENTE AL CIRCULO MILITAR
4;1;1;40101006;8970;ESCUELA BASICA ANTONIO ARRAIZ;SECTOR: LA COOPERATIVA. FRENTE CALLE PEREZ BONALDE. IZQUIERDA AVENIDA RAFAEL URDANETA. DERECHA CALLE ANDRES BELLO. REFERENCIA FRENTE AL AMBULATORIO DEL NORTE
4;1;1;40101009;8990;CICLO BASICO ANDRES BELLO;SECTOR EL CANAL DE LA COOPERATIVA IZQUIERDA AVENIDA LAS DELICIAS. FRENTE AVENIDA EL CANAL. DERECHA CALLE SIN NOMBRE POLIDEPORTIV LAS DELICIAS EDIFICIO
